"","name","type","lon","lat","address","zip"
"150","Bischofszell","m",9.2441346,47.4925953,"Steigstrasse 5","9220"
"151","Bischofszell","mig",9.2414237,47.492215,"Poststrasse 3","9220"
"152","Bitsch","dmp",8.0160849,46.338042,"Furkastrasse","3982"
"153","Bière","dmp",6.3321026,46.5380702,"Le Centre","1145"
"154","Blonay","m",6.8952017,46.4644668,"Route du Village 37","1807"
"155","Bolligen","mig",7.4968721,46.9701472,"Bolligenstrasse 90","3065"
"156","Bonstetten","dmp",8.4722931,47.3254148,"Schachenstrasse 115","8906"
"157","Boswil","mgls",8.316425,47.2979933,"Muristrasse 8","5623"
"158","Boudry","mgls",6.8454068,46.9539937,"Route de vignoble 13","2017"
"159","Breitenbach - Wydehof","mm",7.542466,47.4083107,"Laufenstrasse 4","4226"
"160","Bremgarten","shell",8.3262155,47.3556302,"Wohlerstrasse 18","5620"
"161","Bremgarten","mig",8.3457318,47.3513448,"Zürcherstrasse 8","5620"
"162","Bremgarten AG","mm",8.3497522,47.3526495,"Zufikerstrasse 2","5620"
"163","Bremgarten Fachmarkt","fm",8.3498121,47.3522802,"Zufikerstrasse 4","5620"
"164","Bremgarten Kalchacker","m",7.4375202,46.9753771,"Kalchackerstrasse 9","3047"
"165","Brienz","m",8.0282209,46.755197,"Hauptstrasse 51","3855"
"166","Brig","mm",7.9893511,46.3184112,"Belalpstrasse 1","3900"
"167","Brissago","pica",8.7060466,46.1145732,"Via R. Leoncavallo 62","6614"
"168","Bronschhofen","m",9.0325903,47.4807063,"Amp-Strasse 2","9552"
"169","Brugg","mig",8.2082727,47.4828987,"Neumarkt 1","5200"
"170","Brugg - Neumarkt","mmm",8.2092555,47.4822516,"Neumarkt 1","5200"
"171","Brugg AG","mgls",8.2203454,47.4917188,"Zurzacherstrasse 83","5200"
"172","Brugg Campus","mr",8.2118356,47.4812711,"Bahnhofstrasse 5","5210"
"173","Brugg SportXX","spez",8.2081207,47.483265,"Hauptstrasse 2","5200"
"174","Brunnen - Bahnhofsmärcht","m",8.608986,46.99991,"Bahnhofplatz 19","6440"
"175","Brusino-Arsizio 1","pica",8.919178,45.914485,"Via al Confine","6827"
"176","Brügg","mig",7.278243,47.1236832,"Bahnhofstrasse 8","2555"
"177","Brügg - Centre Brügg","mmm",7.267001,47.119664,"Erlenstrasse 40","2555"
"178","Bubendorf","mm",7.7432173,47.4568583,"Grüngenstrasse 1","4416"
"179","Buchrain - Tschannhof","m",8.3488964,47.0954005,"Unterdorfstrasse","6033"
"180","Buchs AG - Wynecenter","mmm",8.0889759,47.3846372,"Bresteneggstrasse 9b","5033"
"181","Buchs Outlet","spez",9.4787211,47.164196,"Heldaustrasse 66","9470"
"182","Buchs SG","mm",9.4725984,47.1642154,"Churerstrasse 10","9470"
"183","Buchs SG - MParc","fm",9.4734086,47.1643081,"Churerstrasse 5","9470"
"184","Bulle","mgls",7.0563577,46.6233565,"Rue de l'Europe 82","1630"
"185","Bulle - Gruyère-Centre","mmm",7.0574539,46.6232086,"Rue Château d'En-Bas 2","1630"
"186","Buochs","m",8.4159724,46.9777789,"Ennetbürgerstrasse 45","6374"
"187","Burgdorf","mgls",7.6005253,47.068533,"Kirchbergstrasse 235","3400"
"188","Burgdorf - Neumarkt","mm",7.6208431,47.0592476,"Lyssachstrasse 27","3400"
"189","Burgdorf Fachmarkt","fm",7.6249767,47.0599893,"Poststrasse 1","3400"
"190","Bursins","soca",6.2972544,46.4446744,"La Côte / A1 Sud","1183"
"191","Bussigny","mm",6.5530928,46.5475444,"Rue de la Gare 2","1030"
"192","Bussigny","mig",6.551894,46.5476654,"Place de la Gare 1","1030"
"193","Bülach","mgls",8.5443391,47.5117034,"Zürichstrasse 57/59","8180"
"194","Bülach - Sonnenhof","mm",8.5399087,47.5209712,"Bahnhofstrasse 28","8180"
"195","Bülach Süd","mmm",8.5392376,47.5096113,"Feldstrasse 85","8180"
"196","Bürglen/Altdorf - Urnertor","mm",8.6512831,46.8727937,"Gotthardstrasse 67","6460"
"197","Bütschwil","m",9.0730977,47.3631624,"Landstrasse 41","9606"
"198","Cadenazzo","pica",8.9385826,46.1521213,"Via Cantonale","6593"
"199","Café au Léopold","dmp",7.007772,47.011913,"Fleur-de-Lys 26","2074"
"200","Camorino","soca",9.0015256,46.1670889,"In Tirada","6528"
"201","Capolago","pica",8.9829846,45.9099345,"Via Carlo Maderno 56","6825"
"202","Carouge","m",6.1407522,46.1834886,"Rue du Marché 16","1227"
"203","Carouge - Acacias","m",6.1376221,46.1914417,"Rue Gustave-Revilliod 4","1227"
"204","Carouge - MParc La Praille","fm",6.1343696,46.1844407,"Avenue Vibert 32","1227"
"205","Carouge - Vibert","mm",6.1344054,46.1824507,"Avenue Vibert 29","1227"
"206","Caslano","m",8.8766875,45.9769776,"Via Stazione 80","6987"
"207","Caslano","pica",8.8772401,45.9798317,"Via Cantonale 36","6987"
"208","Caslano-Pura","pica",8.8697849,45.9740608,"Via Colombera 36","6984"
"209","Centro Agno","mmm",8.9054575,45.9982691,"Via Lugano 21","6982"
"210","Centro S.Antonino","mmm",8.9618543,46.1538454,"Via Serrai 5","6592"
"211","Centro S.Antonino OBI","fm",8.9595539,46.1544523,"Via Serrai 3","6592"
"212","Cernier","mm",6.9017185,47.0580103,"Rue Comble-Emine 5","2053"
"213","Cham","shell",8.4716866,47.1826816,"Zugerstrasse 82","6330"
"214","Cham - Neudorf","m",8.4615098,47.1817739,"Zugerstrasse 15/17","6330"
"215","Chamoson","dmp",7.2233814,46.2020085,"Chemin Neuf 2","1955"
"216","Chavannes - Renens","m",6.5763873,46.5364692,"Avenue du Tir-Fédéral 12","1022"
"217","Chavannes La Cerisaie Outlet","spez",6.5674249,46.5282782,"Route de la Maladière 6","1022"
"218","Cheseaux","shell",6.6013953,46.5825542,"Route de Genève 9a","1033"
"219","Chez-le-Bart - Béroche","m",6.7838713,46.8996814,"Rue de Combamare 21","2025"
"220","Chiasso","mig",9.0318296,45.832094,"Palazzo Stazione, Via Motta","6830"
"221","Chiasso - Boffalora","m",9.0240412,45.8373775,"Via Bernardino Luini","6830"
"222","Chiasso Via Como","pica",9.0338472,45.8379393,"Via Como 7","6830"
"223","Chiasso-Pedrinate1","pica",9.0055867,45.8214687,"Via Tinelle 20","6832"
"224","Chur","mgls",9.5127989,46.8515538,"Rheinfelsstrasse 2","7000"
