"","name","type","lon","lat","address","zip"
"99","Bern Westflügel","m",7.3953525,46.9467745,"Bethlehemstrasse 40","3027"
"100","Bex","m",7.015988,46.2504679,"Rue Centrale 43-45","1880"
"101","Biasca","m",8.9721457,46.3535809,"Via General Guisan 26","6710"
"102","Biasca","pica",8.969252,46.3587333,"Via Gen. Guisan 2","6710"
"103","Biberist","m",7.5617677,47.1831041,"Hauptstrasse 21","4562"
"104","Biberist","soca",7.5532515,47.1898607,"Holzackerstrasse 1","4562"
"105","Biel - Bielerhof","mm",7.2440832,47.1349461,"Bahnhofstrasse 15","2502"
"106","Biel - Bözingen","m",7.2671886,47.1518033,"Schlösslistrasse 7","2504"
"107","Biel - Madretsch","mm",7.2523976,47.1320095,"Brüggstrasse 5","2503"
"108","Biel - Neumarkt","mm",7.2474512,47.1407132,"Kanalgasse 36-38","2502"
"109","Biel Stadion","m",7.2822405,47.1559201,"Sportallee 20","2503"
"110","Binningen","mig",7.5719652,47.5377117,"Hauptstrasse 129","4102"
"111","Binningen - Gorenmatt","mm",7.5729746,47.5324671,"Gorenmattstrasse 17","4102"
"112","Binningen - Zentrum","m",7.5742852,47.5412885,"Hauptstrasse 71","4102"
"113","Bioggio","pica",8.9123616,46.0164899,"Strada Regina 23","6934"
"114","Birmensdorf","m",8.4367541,47.3541611,"Zürcherstrasse 15","8903"
"115","Birmensdorf","shell",8.4297103,47.3654476,"Industriestrasse 1","8903"
"116","Birsfelden","mm",7.6242615,47.5554924,"Chrischonastrasse 2","4127"
"117","Birsfelden","mgls",7.6255831,47.5497163,"Rheinfelderstr. 10","4127"
"118","Bischofszell","m",9.2441346,47.4925953,"Steigstrasse 5","9220"
"119","Bischofszell","mig",9.2414237,47.492215,"Poststrasse 3","9220"
"120","Blonay","m",6.8952017,46.4644668,"Route du Village 37","1807"
"121","Bolligen","mig",7.4968721,46.9701472,"Bolligenstrasse 90","3065"
"122","Boswil","mgls",8.316425,47.2979933,"Muristrasse 8","5623"
"123","Boudry","mgls",6.8454068,46.9539937,"Route de vignoble 13","2017"
"124","Breitenbach - Wydehof","mm",7.542466,47.4083107,"Laufenstrasse 4","4226"
"125","Bremgarten","shell",8.3262155,47.3556302,"Wohlerstrasse 18","5620"
"126","Bremgarten","mig",8.3457318,47.3513448,"Zürcherstrasse 8","5620"
"127","Bremgarten AG","mm",8.3497522,47.3526495,"Zufikerstrasse 2","5620"
"128","Bremgarten Kalchacker","m",7.4375202,46.9753771,"Kalchackerstrasse 9","3047"
"129","Brienz","m",8.0282209,46.755197,"Hauptstrasse 51","3855"
"130","Brig","mm",7.9893511,46.3184112,"Belalpstrasse 1","3900"
"131","Brissago","pica",8.7060466,46.1145732,"Via R. Leoncavallo 62","6614"
"132","Bronschhofen","m",9.0325903,47.4807063,"Amp-Strasse 2","9552"
"133","Brugg","mig",8.2082727,47.4828987,"Neumarkt 1","5200"
"134","Brugg - Neumarkt","mmm",8.2092555,47.4822516,"Neumarkt 1","5200"
"135","Brugg AG","mgls",8.2203454,47.4917188,"Zurzacherstrasse 83","5200"
"136","Brunnen - Bahnhofsmärcht","m",8.608986,46.99991,"Bahnhofplatz 19","6440"
"137","Brusino-Arsizio 1","pica",8.919178,45.914485,"Via al Confine","6827"
"138","Brügg","mig",7.278243,47.1236832,"Bahnhofstrasse 8","2555"
"139","Brügg - Centre Brügg","mmm",7.267001,47.119664,"Erlenstrasse 40","2555"
"140","Bubendorf","mm",7.7432173,47.4568583,"Grüngenstrasse 1","4416"
"141","Buchrain - Tschannhof","m",8.3488964,47.0954005,"Unterdorfstrasse","6033"
"142","Buchs AG - Wynecenter","mmm",8.0889759,47.3846372,"Bresteneggstrasse 9b","5033"
"143","Buchs SG","mm",9.4725984,47.1642154,"Churerstrasse 10","9470"
"144","Bulle","mgls",7.0563577,46.6233565,"Rue de l'Europe 82","1630"
"145","Bulle - Gruyère-Centre","mmm",7.0574539,46.6232086,"Rue Château d'En-Bas 2","1630"
"146","Buochs","m",8.4159724,46.9777789,"Ennetbürgerstrasse 45","6374"
"147","Burgdorf","mgls",7.6005253,47.068533,"Kirchbergstrasse 235","3400"
"148","Burgdorf - Neumarkt","mm",7.6208431,47.0592476,"Lyssachstrasse 27","3400"
"149","Bursins","soca",6.2972544,46.4446744,"La Côte / A1 Sud","1183"
"150","Bussigny","mm",6.5530928,46.5475444,"Rue de la Gare 2","1030"
"151","Bussigny","mig",6.551894,46.5476654,"Place de la Gare 1","1030"
"152","Bülach","mgls",8.5443391,47.5117034,"Zürichstrasse 57/59","8180"
"153","Bülach - Sonnenhof","mm",8.5399087,47.5209712,"Bahnhofstrasse 28","8180"
"154","Bülach Süd","mmm",8.5392376,47.5096113,"Feldstrasse 85","8180"
"155","Bürglen/Altdorf - Urnertor","mm",8.6512831,46.8727937,"Gotthardstrasse 67","6460"
"156","Bütschwil","m",9.0730977,47.3631624,"Landstrasse 41","9606"
"157","Cadenazzo","pica",8.9385826,46.1521213,"Via Cantonale","6593"
"158","Camorino","soca",9.0015256,46.1670889,"In Tirada","6528"
"159","Capolago","pica",8.9829846,45.9099345,"Via Carlo Maderno 56","6825"
"160","Carouge","m",6.1407522,46.1834886,"Rue du Marché 16","1227"
"161","Carouge - Acacias","m",6.1376221,46.1914417,"Rue Gustave-Revilliod 4","1227"
"162","Carouge - Vibert","mm",6.1344054,46.1824507,"Avenue Vibert 29","1227"
"163","Caslano","m",8.8766875,45.9769776,"Via Stazione 80","6987"
"164","Caslano","pica",8.8772401,45.9798317,"Via Cantonale 36","6987"
"165","Caslano-Pura","pica",8.8697849,45.9740608,"Via Colombera 36","6984"
"166","Centro Agno","mmm",8.9054575,45.9982691,"Via Lugano 21","6982"
"167","Centro S.Antonino","mmm",8.9618543,46.1538454,"Via Serrai 5","6592"
"168","Cernier","mm",6.9017185,47.0580103,"Rue Comble-Emine 5","2053"
"169","Cham","shell",8.4716866,47.1826816,"Zugerstrasse 82","6330"
"170","Cham - Neudorf","m",8.4615098,47.1817739,"Zugerstrasse 15/17","6330"
"171","Chavannes - Renens","m",6.5763873,46.5364692,"Avenue du Tir-Fédéral 12","1022"
"172","Cheseaux","shell",6.6013953,46.5825542,"Route de Genève 9a","1033"
"173","Chez-le-Bart - Béroche","m",6.7838713,46.8996814,"Rue de Combamare 21","2025"
"174","Chiasso","mig",9.0318296,45.832094,"Palazzo Stazione, Via Motta","6830"
"175","Chiasso - Boffalora","m",9.0240412,45.8373775,"Via Bernardino Luini","6830"
"176","Chiasso Via Como","pica",9.0338472,45.8379393,"Via Como 7","6830"
"177","Chiasso-Pedrinate1","pica",9.0055867,45.8214687,"Via Tinelle 20","6832"
"178","Chur","mgls",9.5127989,46.8515538,"Rheinfelsstrasse 2","7000"
"179","Chur - Calandapark","mm",9.5136033,46.8461969,"Pargherastrasse 1-3","7000"
"180","Chur - Gäuggeli","mm",9.5275536,46.8515396,"Gäuggelistrasse 28","7000"
"181","Chur - Ringstrasse","m",9.5207396,46.8577894,"Ringstrasse 91","7000"
"182","Chur - West","soca",9.5344566,46.8731603,"Stellenweg 6","7000"
"183","Chur Masans","m",9.5346776,46.8717233,"Masanserstrasse 240","7000"
"184","Chur-Ost","soca",9.5339975,46.8729209,"Deutsche Strasse 5","7000"
"185","Churwalden","m",9.543758,46.7779744,"Hauptstrasse 146","7075"
"186","Châtel-St-Denis","mm",6.9048889,46.5237831,"Rte de Montreux 56","1618"
"187","Chêne-Bougeries","shell",6.1865501,46.2033483,"Ch. de la Gradelle 40","1224"
"188","Chêne-Bourg","mm",6.1943164,46.1963267,"Avenue de Bel-Air 12","1225"
"189","Clarens - Centre","m",6.8934821,46.4412673,"Rue du Léman 9","1815"
"190","Cointrin","mgls",6.1073222,46.2253308,"Av. Louis-Casaï 74/76","1216"
"191","Coldrerio-Paese","pica",8.9853133,45.8577734,"Via S. Gottardo 37","6877"
"192","Collombey","mm",6.9566145,46.2652306,"Entre-deux-Fossaux","1868"
"193","Collombey","mgls",6.9531105,46.2672488,"Pré du Pont 103","1868"
"194","Collonge-Bellerive - Vésenaz","mm",6.1995331,46.2409626,"Route de Thonon 55","1245"
"195","Colombier","m",6.8517986,46.9672459,"Avenue de la Gare 16","2013"
"196","Conthey","mgls",7.3014206,46.2245292,"Route Cantonale 25","1964"
"197","Conthey - Forum des Alpes","mmm",7.3009436,46.2235391,"Route des Rottes 15","1964"
"198","Cortaillod","m",6.8429599,46.9442979,"Chemin de Ronzi 2","2016"
"199","Cossonay","m",6.5066553,46.6137634,"Route des Chavannes 1","1304"
"200","Courtepin","m",7.1201102,46.8656187,"Route de l'Industrie 25","1784"
"201","Crans-Montana","m",7.4732188,46.3094446,"Route du Rawyl 32","3963"
"202","Crissier","mmm",6.5690604,46.5543608,"Chemin du Closalet 7","1023"
"203","Crocifisso di Savosa","m",8.9413299,46.0164918,"Via San Gottardo 150","6942"
"204","Cugy","m",6.6414782,46.5877538,"Route de Bottens 1","1053"
"205","Daily Zürich-Zollstrasse","m",8.5369492,47.3798176,"Zollstrasse 6","8005"
"206","Davos - Rätia","m",9.8213178,46.7936512,"Promenade 40","7270"
"207","Davos Dorf","mig",9.8419154,46.8096852,"Bahnhofstrasse","7260"
"208","Davos Symondpark","mm",9.8327029,46.8015209,"Promenade 105","7270"
"209","Davos-Dorf","m",9.8382834,46.8073239,"Promenade 146","7260"
"210","Degersheim","m",9.1965728,47.3724798,"Hauptstrasse 81","9113"
"211","Delémont","mm",7.34649,47.3635367,"Rue de la Maltière 12","2800"
"212","Derendingen","m",7.5836013,47.1974163,"Hauptstrasse 22","4552"
"213","Dielsdorf","mm",8.4644704,47.4807739,"Ruchwiesenstrasse 2","8157"
"214","Dielsdorf","mgls",8.4516463,47.4859688,"Wehntalerstrasse 4","8157"
"215","Dielsdorf","mgls",8.46472,47.4813293,"Ruchwiesenstrasse 1","8157"
"216","Diepoldsau","m",9.6562685,47.3857976,"Hintere Kirchstrasse 1","9444"
"217","Diessenhofen","m",8.7521372,47.6859558,"Bahnhofstrasse 15","8253"
"218","Dietikon - Bernstrasse","mgls",8.3956104,47.3841388,"Bernstrasse 386","8953"
"219","Dietikon - Limmatfeld","m",8.4051555,47.4090317,"Uberlandstrasse 22","8953"
"220","Dietikon - Löwenzentrum","mm",8.4018695,47.4051079,"Löwenstrasse 28","8953"
